ticker,name,sector
AAPL,Apple Inc.,Information Technology
ABNB,Airbnb Inc.,Consumer Discretionary
ADBE,Adobe Inc.,Information Technology
ADI,Analog Devices Inc.,Information Technology
ADP,Automatic Data Processing,Industrials
ADSK,Autodesk Inc.,Information Technology
AEP,American Electric Power,Utilities
AMAT,Applied Materials Inc.,Information Technology
AMD,Advanced Micro Devices,Information Technology
AMGN,Amgen Inc.,Health Care
AMZN,Amazon.com Inc.,Consumer Discretionary
ANSS,ANSYS Inc.,Information Technology
ARM,Arm Holdings,Information Technology
ASML,ASML Holding NV,Information Technology
AVGO,Broadcom Inc.,Information Technology
AZN,AstraZeneca PLC,Health Care
BIIB,Biogen Inc.,Health Care
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
CCEP,Coca-Cola Europacific Partners,Consumer Staples
CDNS,Cadence Design Systems,Information Technology
CDW,CDW Corporation,Information Technology
CEG,Constellation Energy,Utilities
CHTR,Charter Communications,Communication Services
CMCSA,Comcast Corporation,Communication Services
COST,Costco Wholesale,Consumer Staples
CPRT,Copart Inc.,Industrials
CRWD,CrowdStrike Holdings,Information Technology
CSCO,Cisco Systems,Information Technology
CSGP,CoStar Group,Real Estate
CSX,CSX Corporation,Industrials
CTAS,Cintas Corporation,Industrials
CTSH,Cognizant Technology Solutions,Information Technology
DASH,DoorDash Inc.,Consumer Discretionary
DDOG,Datadog Inc.,Information Technology
DXCM,Dexcom Inc.,Health Care
EA,Electronic Arts,Communication Services
EXC,Exelon Corporation,Utilities
FANG,Diamondback Energy,Energy
FAST,Fastenal Company,Industrials
FTNT,Fortinet Inc.,Information Technology
GEHC,GE HealthCare Technologies,Health Care
GFS,GlobalFoundries Inc.,Information Technology
GILD,Gilead Sciences,Health Care
GOOG,Alphabet Inc. (Class C),Communication Services
GOOGL,Alphabet Inc. (Class A),Communication Services
HON,Honeywell International,Industrials
IDXX,IDEXX Laboratories,Health Care
ILMN,Illumina Inc.,Health Care
INTC,Intel Corporation,Information Technology
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical,Health Care
KDP,Keurig Dr Pepper,Consumer Staples
KHC,Kraft Heinz Company,Consumer Staples
KLAC,KLA Corporation,Information Technology
LIN,Linde plc,Materials
LRCX,Lam Research Corp.,Information Technology
LULU,Lululemon Athletica,Consumer Discretionary
MAR,Marriott International,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MDB,MongoDB Inc.,Information Technology
MDLZ,Mondelez International,Consumer Staples
MELI,MercadoLibre Inc.,Consumer Discretionary
META,Meta Platforms,Communication Services
MNST,Monster Beverage,Consumer Staples
MRVL,Marvell Technology,Information Technology
MSFT,Microsoft Corporation,Information Technology
MU,Micron Technology,Information Technology
NFLX,Netflix Inc.,Communication Services
NVDA,NVIDIA Corporation,Information Technology
NXPI,NXP Semiconductors,Information Technology
ODFL,Old Dominion Freight Line,Industrials
ON,ON Semiconductor,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
PANW,Palo Alto Networks,Information Technology
PAYX,Paychex Inc.,Industrials
PCAR,PACCAR Inc.,Industrials
PDD,PDD Holdings,Consumer Discretionary
PEP,PepsiCo Inc.,Consumer Staples
PYPL,PayPal Holdings,Financials
QCOM,Qualcomm Inc.,Information Technology
REGN,Regeneron Pharmaceuticals,Health Care
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
SBUX,Starbucks Corporation,Consumer Discretionary
SMCI,Super Micro Computer,Information Technology
SNPS,Synopsys Inc.,Information Technology
TEAM,Atlassian Corporation,Information Technology
TMUS,T-Mobile US,Communication Services
TSLA,Tesla Inc.,Consumer Discretionary
TTD,The Trade Desk,Communication Services
TTWO,Take-Two Interactive,Communication Services
TXN,Texas Instruments,Information Technology
VRSK,Verisk Analytics,Industrials
VRTX,Vertex Pharmaceuticals,Health Care
WBA,Walgreens Boots Alliance,Consumer Staples
WBD,Warner Bros. Discovery,Communication Services
WDAY,Workday Inc.,Information Technology
XEL,Xcel Energy,Utilities
ZS,Zscaler Inc.,Information Technology
